generated,log_probs,linear_probs,correct_answer
C,-0.0006050991,99.93950839355404,C
C,-0.00067335507,99.93268715826498,B
D,-0.27123278,76.24389951971993,B
C,-0.0026533017,99.73502151938078,C
B,-0.25410697,77.56088307322109,C
A,-0.74849385,47.3078543672401,D
B,-0.17824775,83.67350966870167,B
C,-0.61451954,54.090071404513374,C
C,-0.00084941345,99.91509471994839,C
C,-0.00018542144,99.98145957494927,D
B,-0.16625296,84.6831992472434,A
C,-0.0001136755,99.98863309608149,C
C,-0.1366951,87.2236130389101,C
A,-0.18474159,83.13190772613031,A
A,-0.015159896,98.49544367367426,C
B,-0.6053261,54.5896380801134,B
A,-0.09868968,90.6023821716047,B
A,-1.7099707,18.08710920624823,B
D,-0.00023536409,99.97646636059545,D
D,-0.000941358,99.90590849384434,D
B,-0.08203331,92.12412716385002,B
C,-0.014073237,98.60253280814932,C
C,-0.0002603822,99.97396516965028,C
B,-0.007063324,99.29615626443476,B
A,-0.8746558,41.70055282820956,D
C,-0.00011498674,99.98850198707217,C
C,-0.0004746407,99.95254719240776,C
B,-0.18558568,83.06176652104722,B
C,-0.26195058,76.95490538820853,D
C,-0.0012824952,99.87183268455084,C
D,-0.69216394,50.04918620497051,C
D,-0.198637,81.98474439463745,A
C,-0.016491534,98.36437068830446,B
B,-0.06729239,93.49217995837748,B
D,-0.29014137,74.81577930348664,C
A,-0.0001593195,99.98406931906776,D
A,-0.16879147,84.46850271905677,D
A,-0.15814103,85.37293720246375,D
B,-4.739826e-05,99.99526028632798,B
C,-0.044699386,95.62849112605942,D
C,-0.010182534,98.98691324853785,A
B,-0.0008236801,99.91766590313352,B
B,-0.00010258956,99.9897415702129,B
C,-0.025995906,97.43390785447716,B
D,-0.00024810788,99.97519228962148,D
B,-0.004759292,99.52520154845182,B
B,-0.00015026369,99.98497475990227,B
D,-0.0138185015,98.62765357308494,C
A,-0.002452588,99.75504171366595,A
A,-0.752011,47.14175781172507,D
C,-0.00028982185,99.97102201442954,C
B,-0.005214548,99.47990241542911,B
B,-4.9663133e-05,99.9950338100193,B
A,-0.7131163,49.01144714290063,C
B,-2.116682,12.043055490776345,A
A,-0.0011787971,99.88218974083799,A
A,-6.206032e-05,99.99379416057018,A
B,-0.00038145646,99.96186162852653,B
A,-0.00014168103,99.98583290062831,A
A,-0.27014917,76.32656295105022,A
D,-0.38543192,68.01567994273566,A
A,-0.0025366636,99.74665510124052,C
A,-0.020948462,97.92694328569617,A
B,-0.00013440961,99.98655994225669,B
D,-0.00031627773,99.96837722805287,D
C,-0.00031615852,99.96838914528384,C
C,-0.16797793,84.53724918496714,C
B,-0.040826745,95.9995439550277,C
C,-0.00026598477,99.97340506008129,C
D,-8.184812e-05,99.99181552294661,D
A,-0.0008498903,99.91504707544682,A
B,-0.26690933,76.57424981901767,B
C,-0.0001437075,99.98563028254281,C
A,-0.00022737744,99.9772648408291,A
Ret,-0.641812,52.633783528928035,A
B,-0.84615433,42.90617933431599,A
A,-0.07789493,92.50616176616822,A
D,-0.005623124,99.43926561699541,D
B,-0.22198229,80.09295486713634,B
B,-0.62378633,53.591145363514194,C
D,-0.18146388,83.40483705865593,D
A,-0.00022845028,99.97715758127782,B
A,-0.0002935135,99.97065295708732,C
C,-0.025545847,97.47776873086296,D
D,-0.012519421,98.75586209316619,D
D,-0.0015235527,99.84776073172242,D
A,-0.28833154,74.95130574826335,B
A,-0.0003240223,99.96760301895561,C
C,-0.024470726,97.582625483807,C
C,-0.00012368128,99.98763263682142,D
D,-0.0013402429,99.86606548244144,D
D,-0.77738637,45.960568207338746,A
C,-0.24195461,78.50918120604476,A
C,-0.00016218038,99.98378327705268,C
A,-1.1263752,32.420631213188535,B
A,-1.0083277,36.482857254015656,C
C,-0.00017231269,99.98277021549788,C
A,-4.5491004e-05,99.99545100307,A
D,-0.0012613063,99.87394888124626,D
D,-0.0004833426,99.9516774191217,D
B,-0.14944044,86.11897289524984,A
D,-0.0007790117,99.92212916508379,D
B,-0.015281291,98.4834875450113,B
A,-0.0034995733,99.65065430696662,A
B,-0.2640043,76.79702373775855,A
B,-0.006416455,99.36040864893874,B
B,-0.00021331508,99.9786707670044,B
C,-0.00018292182,99.98170949091761,C
D,-5.5861725e-05,99.99441398352371,D
B,-0.030876134,96.95956655748958,C
C,-0.0029009245,99.71032791157043,C
D,-0.0009402852,99.90601567296046,D
A,-0.2185434,80.36885986025679,D
B,-8.208653e-05,99.9917916839007,B
A,-1.104215,33.147098486146234,C
B,-0.0012814223,99.8719398370976,B
A,-0.0006053375,99.93948456797807,A
B,-1.025033,35.87846253179557,D
C,-1.3980399,24.708079267207022,C
C,-0.005792751,99.42239946320457,C
A,-0.0010092307,99.89912784020214,C
B,-0.007245603,99.27805830985567,B
B,-0.02062107,97.9590090322604,B
C,-0.00029601678,99.97040270286442,C
C,-0.0003670365,99.96330308496559,C
A,-0.00022189408,99.97781305366705,A
B,-0.036272265,96.43776914439121,C
A,-0.17847653,83.6543690327405,A
C,-0.0091531295,99.08886328738858,C
A,-3.6431527e-05,99.996356913662,A
C,-1.5571973,21.07258456618975,B
C,-0.00018887833,99.98111395063887,C
B,-0.0008947861,99.91056141017086,B
A,-0.00032068457,99.96793668438006,A
A,-0.08902911,91.4818942807418,A
A,-0.03478722,96.58108996386395,B
C,-1.04024,35.336986301379056,C
A,-2.1076038,12.15288251872519,D
A,-0.00062915985,99.93710380295569,A
D,-0.01125036,98.8812688638601,D
A,-0.4821095,61.74794440635535,C
C,-0.0006034302,99.93967518273877,C
C,-0.02435264,97.59414930610754,C
D,-0.12549078,88.20638970186721,A
A,-0.015742702,98.43805666250014,A
A,-0.00032938644,99.96706678017577,A
D,-0.0012041618,99.8796562911901,D
A,-0.00010127832,99.9898726808476,A
D,-0.00015502817,99.98449838462457,D
C,-0.5301569,58.85126248032575,C
C,-0.00035679596,99.9643267684109,C
C,-1.1919026,30.36430029639145,B
C,-0.6319265,53.1566750599094,C
C,-0.0001875671,99.98124504896087,C
B,-0.07028707,93.21261960272992,B
A,-0.0033795955,99.66261089048687,A
D,-0.035426576,96.51936000032309,B
B,-0.47094616,62.4411195805205,B
C,-3.9543273,1.9171560921840038,D
B,-0.06355467,93.84228143229963,D
D,-1.0185666,36.11121875829782,A
C,-0.08897098,91.48721227782242,D
D,-0.016476994,98.365800916652,C
D,-0.053302795,94.80928912280524,D
A,-0.10169258,90.33072036893563,D
A,-0.070868716,93.158418619809,D
D,-0.00010354319,99.98964621704111,D
D,-0.3453919,70.79428562903996,B
B,-0.0002936327,99.9706410405862,B
D,-0.52573204,59.11224806413165,D
D,-0.00010294717,99.9897058128878,D
B,-0.98627776,37.2962365951876,D
B,-0.0011443839,99.8856270657543,B
C,-0.019120641,98.10609989232438,C
C,-0.0010481736,99.89523755420657,C
D,-0.00058484543,99.94153255587528,D
C,-0.15985063,85.22710831907017,B
A,-0.08739211,91.6317727837641,C
D,-0.09564617,90.87855147660996,D
B,-0.83450395,43.40897582591262,D
A,-0.35835487,69.88250389572775,B
C,-0.14377305,86.60842835846522,C
B,-0.049865186,95.13576721889463,B
A,-0.00024798868,99.9752042066651,A
D,-1.7829614,16.81394809988572,C
D,-0.13836206,87.07833588416251,A
D,-0.01195194,98.8119200729575,D
A,-0.0045760884,99.54343659397821,D
B,-0.012552979,98.75254809955186,B
B,-0.13975637,86.95700629484212,C
B,-8.304016e-05,99.99169632877386,B
A,-0.35422847,70.1714628298632,B
D,-0.00090812583,99.9092286391469,C
A,-0.0049058045,99.51062093050741,C
A,-0.00029244067,99.97076020866047,A
A,-0.4913883,61.177647506923314,C
B,-0.1827526,83.29742080664425,B
A,-6.659005e-05,99.99334121670682,A
C,-0.23588961,78.986786263369,D
B,-0.0029464401,99.70578963945121,B
A,-0.030692631,96.9773605614082,A
B,-1.1919872,30.361731585244385,B
D,-1.7576518,17.244933427518202,A
B,-0.112641886,89.34705671496872,D
C,-0.051595937,94.9712533020246,D
A,-0.00011510595,99.98849006744356,A
D,-9.639097e-05,99.99036136754603,D
A,-0.8324315,43.49903204413477,B
C,-1.4238652,24.07815471309028,C
A,-0.0012272544,99.87734983687034,A
C,-0.00023762896,99.9762399271525,C
C,-0.00015955791,99.98404548186863,C
B,-0.00034845536,99.9651605343518,B
D,-0.06739726,93.48237594754754,B
C,-0.0003576304,99.96424335421287,C
A,-0.00011760922,99.98823976956932,A
A,-5.4908094e-05,99.99450934134218,A
D,-0.0002291655,99.97708607564074,D
C,-0.10184967,90.31653143057221,A
D,-0.0010961652,99.89044353696116,D
B,-0.6679951,51.27355314398392,C
B,-0.05377365,94.76465820314573,C
B,-0.030622467,96.98416511964935,C
B,-0.028980354,97.14355491019336,B
D,-0.0047398414,99.52713739216365,D
C,-0.010442582,98.96117524642442,A
D,-0.0005330175,99.9467124528592,D
B,-7.171581e-05,99.99282867615172,B
B,-0.36223325,69.61199789188163,D
B,-0.0011668878,99.88337927488351,C
C,-0.11082208,89.50979905969592,B
B,-0.8829689,41.35532889118059,A
A,-0.55290896,57.527392518336875,C
A,-0.6388182,52.79159465966893,C
C,-0.19359587,82.39908364068302,C
C,-0.037472688,96.32207248460071,C
A,-2.4296043,8.807167565027177,D
A,-0.009945906,99.01033909534235,A
D,-8.10137e-05,99.99189895815212,D
B,-8.709308e-05,99.99129107124922,B
B,-0.033699296,96.6862200259715,B
B,-0.024602043,97.56981206750446,C
C,-7.1954215e-05,99.99280483736425,C
A,-0.0012105915,99.8790140970286,A
A,-0.00074935204,99.92509286541227,A
D,-0.003741768,99.62652236907363,D
D,-0.0004738063,99.95263059284794,C
B,-0.0019588443,99.80430729834049,B
B,-0.0009027653,99.90976420699977,A
C,-2.853359,5.7650347761245415,A
B,-0.094840035,90.95184139451958,C
C,-2.999418,4.981605287532757,A
C,-0.008397314,99.16378449587728,C
A,-0.00014036978,99.98596400713767,A
A,-0.41708118,65.89674227973181,D
A,-0.0005948549,99.94053219910994,A
C,-3.3262239,3.5928518918918453,D
B,-0.00031997304,99.96800781459136,B
B,-0.00038765505,99.96124200785106,B
B,-0.03166247,96.88335372813374,D
B,-0.0057062204,99.43100291530914,B
A,-0.6647653,51.439424186883755,B
A,-0.00011462913,99.98853774396676,A
C,-0.011047126,98.9013669418936,C
B,-0.0006270142,99.93731823323252,D
B,-7.398068e-05,99.9926022056503,B
B,-0.00057292875,99.9427235342337,C
B,-0.025732795,97.45954716025042,D
A,-0.0044728466,99.55371416807884,A
A,-0.0003028114,99.96972344427446,A
B,-2.0307174,13.12413348342916,A
B,-0.08254867,92.07666230547011,B
C,-0.05618827,94.53611359938282,C
C,-0.13067088,87.75065318202671,D
C,-0.00022463576,99.97753894687233,C
C,-0.00011439072,99.98856158223688,C
A,-0.028776638,97.16334662250122,A
A,-1.1189082,32.66362214408029,D
B,-0.00128571,99.8715116170992,B
D,-0.6353044,52.97742005041752,D
D,-0.57999015,55.99038815914742,A
A,-1.9866157,13.71588274773099,B
A,-0.70136404,49.59084033382267,A
A,-1.0314085,35.65044702270822,C
C,-0.0009158631,99.90845561745998,C
D,-0.004123873,99.58846184876442,A
A,-0.00028684177,99.97131993651674,A
A,-0.04117401,95.96621246116173,A
D,-0.24726677,78.09323364215118,D
D,-0.006889304,99.3134372851259,A
B,-1.25761,28.43327703989767,A
D,-0.00071862683,99.92816313204187,D
A,-0.21976534,80.27071391208122,A
B,-3.0571492,4.70215533722758,A
B,-0.06222413,93.96722544450681,B
C,-0.00014823723,99.98517737565953,C
B,-0.008474985,99.15608264468082,B
D,-2.0429761,12.96423077044269,A
D,-0.0001004439,99.98995611443196,D
C,-0.0018253617,99.81763032594627,C
C,-0.0047753113,99.52360723716056,A
A,-0.00069110905,99.9309129710853,A
A,-0.06910218,93.3231317630182,A
C,-0.0014452338,99.85558100474398,C
C,-0.9404923,39.04355766035496,C
A,-0.00024156268,99.9758466493915,A
D,-0.0014227338,99.85782778059273,D
C,-0.001959321,99.80425972163854,A
B,-0.0005450497,99.94550988126043,B
C,-0.006762145,99.32606668545156,D
A,-0.00021259987,99.9787422727751,A
C,-0.44598454,64.01936693792692,A
A,-0.00022737744,99.9772648408291,A
C,-0.9853351,37.33141084164933,C
C,-0.062309254,93.95922691884616,C
A,-0.00014883325,99.98511778251186,A
D,-0.0010129224,99.89875904327263,D
C,-1.6112347,19.964096513810155,A
C,-0.002264448,99.77381139282231,C
B,-0.0007916437,99.92086695672032,B
C,-0.021830857,97.8405711533487,D
A,-0.00041434568,99.95857401493166,A
C,-3.3477035,3.5165017906801648,C
D,-5.8484206e-05,99.99415175041678,D
C,-0.0002354833,99.9764544424016,A
A,-0.035329346,96.52874503394195,D
A,-0.28141013,75.47187392006782,C
C,-0.7543671,47.03081786027556,C
C,-0.00018065695,99.98193593674841,C
A,-0.7593503,46.79703686122757,A
C,-0.0001440651,99.98559452768781,C
A,-0.249073,77.95230661237837,D
B,-0.019286118,98.08986693236031,B
B,-0.09804749,90.66058480198481,A
C,-0.00014966767,99.9850343529647,C
A,-0.122973464,88.42871276927046,D
D,-1.1355742,32.123761372952394,D
A,-9.221884e-05,99.99077854120266,A
D,-0.00037228144,99.96277878481368,D
D,-8.208653e-05,99.9917916839007,D
B,-4.632543e-05,99.99536756430062,B
C,-0.00027933193,99.97207070795314,C
B,-0.5112746,59.97306747244425,A
D,-0.0052950694,99.47189247690481,D
C,-1.9635069,14.036530967600061,A
A,-0.000754001,99.92462831873237,A
C,-0.44726306,63.937569198074925,B
C,-0.003022749,99.69818149060862,A
B,-0.08385205,91.95672960127686,B
A,-0.00037585758,99.96242130456116,A
A,-0.04514216,95.58615868907239,A
A,-0.72706187,48.33269834555979,A
C,-0.0017175429,99.82839312327239,C
B,-0.08014611,92.29814797101902,D
D,-0.014269051,98.58322694203116,B
A,-1.4275064,23.990640760741396,B
D,-0.00012190055,99.98781068795701,D
A,-0.0001008015,99.98992035803005,A
B,-0.00061021384,99.93899723026011,A
A,-0.22157338,80.12571237429076,D
D,-0.20461115,81.49641536174826,D
C,-0.001638408,99.83629334576689,C
C,-0.0027732516,99.72305903098703,D
D,-0.0055089574,99.45061890792837,D
B,-0.05569454,94.58280043914854,C
C,-0.00096481916,99.90356461283541,B
D,-0.04267975,95.82182103166697,D
A,-0.29650748,74.34100665360096,D
A,-0.00025228,99.97477518199233,A
D,-0.021674555,97.85586502550139,D
C,-0.96582454,38.06691933250388,D
B,-0.00087739696,99.91229878401636,B
D,-0.0003480978,99.96519627790099,D
A,-0.23194806,79.29873099979373,C
C,-0.32985926,71.90249218786333,C
C,-0.06417312,93.78426261606552,C
C,-9.0907604e-05,99.9909096527971,C
C,-0.0052507105,99.47630503850348,D
D,-0.10173899,90.32652821748293,A
A,-0.00749222,99.25357767174431,A
B,-0.00010509284,99.98949126820591,B
D,-0.00022129806,99.97787264246095,D
B,-0.00070432975,99.92959182319746,B
C,-0.00031437047,99.96856789392184,C
A,-0.22022118,80.23413164831454,B
B,-0.0044689276,99.55410431984917,C
D,-0.07303942,92.95641858833339,D
D,-0.27439728,76.00300705282147,D
A,-0.0121813705,98.78925220517876,C
D,-3.0540023,4.716975856974491,B
A,-0.00016086915,99.9839143788748,A
C,-2.368354,9.363472225743454,C
C,-0.00068777136,99.93124651005084,C
C,-0.00029327508,99.97067679209324,C
C,-0.034430124,96.61558484339086,C
C,-0.003622643,99.63839108546722,C
A,-0.00029327508,99.97067679209324,A
C,-0.1551875,85.62546146910675,C
D,-0.021489875,97.87393871552746,C
D,-0.19675037,82.13956527188843,C
D,-0.00049465225,99.95054700702546,D
C,-0.012968802,98.7114930551509,D
D,-2.4959574,8.24175070858519,A
B,-8.506662e-05,99.99149369980623,B
A,-0.0037743126,99.62328011651293,A
B,-0.1550703,85.63549736128273,D
C,-0.00025025356,99.97497777508102,C
D,-0.011543707,98.85226659435506,B
D,-0.000113794704,99.98862117703717,D
A,-0.00095040654,99.90500449532502,A
A,-0.00093730877,99.90631303666522,A
D,-0.00014442271,99.98555877184575,D
D,-0.0036593338,99.6347353402541,B
D,-0.00015109812,99.9848913294746,D
B,-0.4290649,65.1117670272945,D
D,-0.0011893989,99.88113081545205,D
D,-0.015864722,98.42604598361262,B
B,-0.18398528,83.19480500118358,A
A,-0.00029601678,99.97040270286442,A
D,-0.24443159,78.31495617943871,B
A,-0.00043543737,99.95646574190928,A
B,-0.5532929,57.50530969076506,B
C,-0.00016563729,99.98343764270986,C
D,-0.5775774,56.125642069501005,D
D,-0.0021500231,99.7852286544106,C
C,-0.00016063073,99.9839382170425,C
C,-0.02870158,97.17063978267359,C
A,-0.0016570901,99.83442821157334,A
B,-0.005978093,99.40397402439984,B
B,-0.022364095,97.78841275052515,C
D,-0.24604008,78.18908861107363,C
A,-0.00021569549,99.97843277705998,B
B,-0.00020854695,99.97914747944036,B
A,-0.00036597464,99.96340923205497,A
A,-0.16108122,85.12229319729141,A
B,-0.033215214,96.73303541506348,C
C,-0.00018852073,99.98114970389163,C
B,-0.00010402,99.98959854098926,B
A,-0.069658846,93.27119640521728,A
B,-0.01506021,98.5052627798779,B
B,-0.00010413921,99.98958662122993,B
D,-0.035262022,96.5352439539368,D
A,-1.9134787,14.756615430312598,B
D,-0.00011820524,99.98818017459641,D
D,-0.16271158,84.98362628456377,D
D,-0.027610732,97.27669601583737,D
C,-2.0899923,12.368808821206732,A
D,-0.0019912054,99.80107757343059,D
C,-0.01688626,98.32555137572017,C
D,-0.007918548,99.21127211114596,A
D,-0.00050918775,99.94909418640822,D
A,-5.419287e-05,99.99458085984071,A
D,-0.00023202639,99.9768000526041,D
C,-0.00015217095,99.98478406274117,C
B,-2.8921695e-05,99.99710787232281,B
B,-0.00040087933,99.95992010113825,B
A,-0.0001558626,99.9844149545944,A
D,-0.003446588,99.65593446666445,C
B,-0.00067180546,99.9328420150763,B
B,-0.00017076306,99.98292515191814,B
D,-0.08814323,91.56297216858448,A
D,-0.36755782,69.24232897365702,D
A,-0.017708395,98.24474771884842,A
A,-0.0009149204,99.90854980120548,A
D,-0.0008784698,99.91219159416323,D
A,-0.037917655,96.27922187523401,A
C,-1.5084355,22.12558621172275,B
C,-0.00015741224,99.98426001486565,C
A,-0.0006871754,99.93130606509426,A
D,-0.4783496,61.980547510712015,C
D,-0.042179886,95.8697308836227,D
C,-0.20361671,81.57749896674864,B
A,-1.0517524,34.932505519881275,B
C,-0.039248966,96.15112957234511,C
B,-0.000107000094,99.9893005630306,B
A,-0.0065939864,99.34277062218484,D
D,-0.00023822498,99.97618033933175,D
B,-9.233804e-05,99.99076662230256,B
A,-1.000353,36.77496026465567,A
A,-0.0002998313,99.97002136449122,A
B,-0.07901879,92.40225618980281,B
C,-4.823269e-05,99.99517684731775,C
D,-0.06073657,94.10711134893165,C
C,-0.011862764,98.82073211764754,B
C,-0.0019169763,99.80848599255464,C
A,-4.0246043e-05,99.99597547668611,A
C,-0.05816096,94.3498069764702,B
B,-0.15340348,85.77835534719344,D
C,-0.0029162613,99.70879868594005,C
B,-0.0842946,91.91604315414945,B
A,-0.19041951,82.66122890746139,D
A,-0.000116655596,99.98833512079995,A
A,-0.0047772108,99.52341819224816,A
A,-0.001084375,99.89162127221141,A
D,-0.04351828,95.74150523838443,C
B,-0.0004069587,99.95931240964599,B
D,-0.00042792756,99.95721639879392,D
C,-0.001040552,99.89599891865052,C
C,-0.003034994,99.69696069385061,C
D,-0.002959281,99.70450933559718,A
D,-0.00012558853,99.98744193559092,D
C,-1.1435375,31.86896607617203,B
B,-0.010263709,98.9788783119773,B
B,-0.0010858054,99.89147838733852,B
C,-0.21589512,80.58198118235644,C
A,-0.0024093043,99.7593595744108,A
A,-0.035589144,96.5036703163614,C
C,-5.0084286,0.6681394204250513,D
B,-0.08968079,91.42229678123535,C
C,-0.6714563,51.0963918939658,A
D,-0.00012296606,99.9877041500016,D
A,-0.0010380488,99.896248978628,A
D,-0.019841388,98.03541569091824,A
B,-0.19476068,82.30316024118059,A
C,-0.15797432,85.3871709112426,A
C,-0.52551955,59.12481016033544,C
C,-1.35382,25.8251851912842,D
D,-0.09444681,90.9876129650289,D
C,-6.992776e-05,99.99300746848888,C
A,-0.12254212,88.46686419155321,B
C,-0.09089956,91.31094190036524,B
A,-0.00011939728,99.98806098475715,A
D,-0.22745696,79.65567045602793,B
C,-0.25439465,77.53857356753176,C
A,-0.00064940983,99.93508009909247,A
D,-0.03195394,96.85511925197387,D
A,-0.01869543,98.14782455542989,D
D,-0.068335034,93.39475169821864,C
B,-0.0014540439,99.85470127096507,B
A,-0.18054497,83.48151382160415,A
D,-5.8365e-05,99.99416367032035,D
C,-0.0054850145,99.4530000726577,C
A,-0.11480661,89.15385418748856,A
C,-0.43210074,64.91439786266957,B
C,-0.012959979,98.71236399049624,C
D,-0.00056185015,99.94383076582393,C
A,-0.045899913,95.51375542592663,A
D,-0.0007899748,99.92103371479433,D
B,-0.28482085,75.2148989741609,C
A,-0.047534846,95.35772442010307,A
A,-0.00022475497,99.97752702855061,A
C,-0.010577406,98.9478338043265,C
D,-0.11630051,89.02076667918357,D
B,-0.18139479,83.41059969791638,D
D,-0.030207342,97.02443402893182,D
A,-3.336339,3.5566930193259245,A
B,-0.0001506213,99.98493900428184,B
B,-0.00010819213,99.98918137225574,B
B,-0.0002970896,99.97029545267453,D
B,-0.00087918504,99.91212013299288,B
B,-0.81605655,44.21719037517168,D
B,-0.02004075,98.01587310246475,D
C,-0.00091098674,99.90894280824448,C
A,-0.0011852304,99.88154717081366,A
D,-7.064298e-05,99.99293595151566,D
A,-0.00025645216,99.97435807210444,D
C,-0.0003781224,99.9621949079265,C
A,-2.6238105,7.25259753934469,A
A,-0.06947246,93.28858247063972,D
C,-0.0035750074,99.64313753305866,C
D,-0.82917124,43.64108163181746,A
C,-0.07859275,92.4416316341915,C
C,-7.767599e-05,99.99223270267017,C
D,-0.000715412,99.92848438461495,C
B,-0.0025319026,99.74712999619595,B
